ticker,id,KEYS
AAPL,Q312,TFC
ABMD,Q4667884,EBAY
ADBE,Q11463,PARA
ADI,Q484930,CCI
ADP,Q6394386,CTRA
ADSK,Q628051,BBWI
AKAM,Q415598,AMT
ALGN,Q30272258,WBA
AMAT,Q7449678,LHX
AMGN,Q470517,EQIX
AMZN,Q3884,EVRG
ANSS,Q295774,FTV
ATVI,Q344341,IQV
BIIB,Q864338,AMCR
CBOE,Q1071853,ZTS
CDNS,Q608776,ENPH
CERN,Q1055390,LUMN
CHRW,Q931200,NWS
CINF,Q5120253,PAYC
CMCSA,Q1113804,GL
CME,Q1023876,KHC
COST,Q715583,DD
CSCO,Q173395,AVGO
CSX,Q1024454,CEG
CTAS,Q15109928,ALLE
CTSH,Q1107035,TT
CTXS,Q916196,LIN
DISCK,,SYF
DISH,Q1199757,TWTR
DLTR,Q5289230,BKNG
DXCM,Q15109865,DXC
EA,Q173941,J
EXPD,Q1384324,ICE
EXPE,Q8085893,MDT
FANG,Q65091423,HLT
FAST,Q3067119,NLSN
FB,Q380,SBAC
FFIV,Q3029296,VTRS
FISV,Q1420513,MNST
FITB,Q1411810,NLOK
FOX,,APH
FOXA,Q5476713,PENN
FTNT,Q2749364,IRM
GILD,Q663596,NWSA
GOOG,Q95,MRNA
GOOGL,Q20800404,JCI
GRMN,Q658789,WELL
HAS,Q501476,DOW
HBAN,Q798819,UA
HOLX,Q5884072,HWM
HSIC,Q905086,ETSY
IDXX,Q1758392,WRK
ILMN,Q2068984,DISCA
INCY,Q6015591,LDOS
INTC,Q248,BKR
INTU,Q1318848,CHTR
IPGP,Q5973024,LW
ISRG,Q2743863,TMUS
JBHT,Q4041705,CTVA
JKHY,Q6113060,CBRE
KLAC,Q624649,NCLH
LKQ,Q20711490,PYPL
LRCX,Q1342041,QRVO
MAR,Q1141173,CPRT
MCHP,Q1545076,CTLT
MDLZ,Q12857502,HPE
MKTX,Q55622230,OTIS
MPWR,Q22058448,FCX
MSFT,Q2283,AMD
MU,Q1197548,SEDG
NDAQ,Q1472929,PPG
NDSN,Q1998662,WTW
NFLX,Q907311,PEAK
NTAP,Q727883,CARR
NTRS,Q970695,CDW
NVDA,Q182477,RTX
NXPI,Q1155668,PNR
ODFL,Q7083862,MTCH
ORLY,Q7071951,STE
PAYX,Q946080,CDAY
PBCT,Q7165802,CFG
PCAR,Q1477661,NI
POOL,Q101209811,AAL
PTC,Q1760641,OGN
QCOM,Q544847,ANET
REGN,Q7308054,CZR
ROST,Q3442791,HPQ
SBNY,Q24204571,
SBUX,Q37158,
SIVB,Q17112054,
SNPS,Q2303478,
STX,Q705392,
SWKS,Q7538146,
TECH,Q19873469,
TRMB,Q17079979,
TROW,Q3511946,
TSCO,Q15109925,
TSLA,Q7555824,
TTWO,Q94933,
TXN,Q193412,
ULTA,Q7880076,
VRSK,Q7921370,
VRSN,Q734338,
VRTX,Q2744099,
WDC,Q738770,
WYNN,Q2274089,
XRAY,Q834888,
ZBRA,Q2443609,
ZION,Q8072579,
A,Q393762,
AAP,Q4686051,
ABBV,Q14662364,
ABC,Q470156,
ABT,Q306764,
ACN,Q338825,
ADM,Q632694,
AEE,Q462984,
AEP,Q464092,
AES,Q291508,
AFL,Q26311,
AIG,Q212235,
AIZ,Q4810399,
AJG,,
ALB,Q127074,
ALK,Q822614,
ALL,Q2645636,
AME,Q470317,
AMP,Q2843129,
ANTM,Q677488,
AON,Q739518,
AOS,,
APA,Q119991,
APD,Q407744,
APTV,Q643626,
ARE,Q48739877,
ATO,Q4817084,
AVB,Q4827537,
AVY,Q790650,
AWK,Q467238,
AXP,Q194360,
AZO,Q4826087,
BA,Q66,
BAC,Q487907,
BAX,Q761965,
BBY,Q533415,
BDX,Q813780,
BEN,Q744683,
BIO,Q2904022,
BK,Q589288,
BLK,Q219635,
BLL,Q4034815,
BMY,Q266423,
BR,Q4972280,
BRO,Q4976010,
BSX,Q894585,
BWA,Q825943,
BXP,Q4844439,
C,Q219508,
CAG,Q1123399,
CAH,Q902397,
CAT,Q459965,
CB,,
CCL,Q1044059,
CE,,
CF,Q905806,
CHD,,
CI,,
CL,Q609466,
CLX,Q910368,
CMA,Q1114148,
CMG,Q465751,
CMI,Q173476,
CMS,Q5013012,
CNC,Q5059102,
CNP,,
COF,Q1034654,
COO,Q1129792,
COP,Q214763,
CPB,Q1030544,
CRL,Q5082076,
CRM,Q941127,
CVS,Q624375,
CVX,Q319642,
D,Q677464,
DAL,Q188920,
DE,Q496302,
DFS,Q5281775,
DG,Q145168,
DGX,Q7271456,
DHI,Q5203782,
DHR,Q1159256,
DIS,Q7414,
DLR,Q5275969,
DOV,Q16974527,
DPZ,Q839466,
DRE,Q48742298,
DRI,Q742196,
DTE,Q5206232,
DUK,Q1264404,
DVA,Q5207184,
DVN,Q1206980,
ECL,Q1282031,
ED,Q1127536,
EFX,Q5384453,
EIX,Q662095,
EL,Q285493,
EMN,Q899022,
EMR,Q1335585,
EOG,,
EPAM,Q1275613,
EQR,Q187740,
ES,Q3344199,
ESS,Q27964091,
ETN,Q48872,
ETR,Q1344587,
EW,Q16966841,
EXC,Q1383669,
EXR,Q5422162,
F,Q44294,
FBHS,Q5472859,
FDS,Q1885491,
FDX,Q459477,
FE,Q1419248,
FIS,Q1411295,
FLT,Q16838618,
FMC,Q899183,
FRC,Q5453752,
FRT,Q27988152,
GD,Q502940,
GE,Q54173,
GIS,Q629998,
GLW,Q5842736,
GM,Q81965,
GNRC,Q5531627,
GPC,Q5533818,
GPN,Q5570544,
GS,Q193326,
GWW,Q1627894,
HAL,Q656165,
HCA,Q1630431,
HD,Q864407,
HES,Q1615684,
HIG,Q444110,
HII,Q7257522,
HON,Q898208,
HRL,Q1454852,
HST,Q1630559,
HSY,Q1056637,
HUM,Q910866,
IBM,Q37156,
IEX,Q5970002,
IFF,Q1666568,
IP,Q202972,
IPG,Q1501630,
IR,Q1663044,
IT,,
ITW,Q1510378,
IVZ,Q522617,
JNJ,Q333718,
JNPR,Q1049080,
JPM,Q192314,
K,Q856897,
KEY,Q1740314,
KIM,Q6410043,
KMB,Q1741634,
KMI,Q931032,
KMX,Q5037190,
KO,Q3295867,
KR,Q153417,
L,Q826526,
LEN,Q16981175,
LH,Q6466630,
LLY,Q632240,
LMT,Q7240,
LNC,Q1825763,
LNT,Q4732492,
LOW,Q1373493,
LUV,Q503308,
LVS,Q1506045,
LYB,Q899255,
LYV,Q1061903,
MA,Q489921,
MAA,Q27988239,
MAS,Q6782872,
MCD,Q38076,
MCK,Q570473,
MCO,Q675585,
MET,Q607131,
MGM,Q568532,
MHK,Q6893780,
MKC,Q1915049,
MLM,Q6776123,
MMC,Q1786345,
MMM,Q159433,
MO,Q445007,
MOS,Q210057,
MPC,Q458363,
MRK,Q247489,
MRO,Q1577587,
MS,Q334204,
MSCI,Q768773,
MSI,Q634815,
MTB,Q3272257,
MTD,Q680186,
NEE,Q967868,
NEM,Q1785405,
NKE,Q483915,
NOC,Q4045482,
NOW,Q7455653,
NRG,Q6955139,
NSC,Q20858163,
NUE,Q1645081,
NVR,Q6955706,
NWL,Q667599,
O,Q7301386,
OKE,Q11074156,
OMC,Q1519267,
ORCL,Q19900,
OXY,Q2013357,
PEG,Q930919,
PEP,Q334800,
PFE,Q206921,
PFG,Q3403513,
PG,Q212405,
PGR,Q7248721,
PH,Q1470619,
PHM,Q7259716,
PKG,Q16983334,
PKI,Q2066858,
PLD,Q16983765,
PM,Q1852556,
PNC,Q38928,
PNW,Q26110522,
PPL,Q2044512,
PRU,Q2114414,
PSA,Q1156045,
PSX,Q1656230,
PVH,Q1132272,
PWR,Q7268886,
PXD,Q4046987,
RCL,Q427881,
RE,Q1381973,
REG,Q7308000,
RF,Q917131,
RHI,Q2157448,
RJF,Q7298901,
RL,Q1641437,
RMD,Q7314903,
ROK,Q1529234,
ROL,Q7361273,
ROP,Q16932392,
RSG,Q7314415,
SCHW,Q1066028,
SEE,Q7440621,
SHW,Q48881,
SJM,Q7742790,
SLB,Q1425316,
SNA,Q1631922,
SO,Q1258373,
SPG,Q2287759,
SPGI,Q868587,
SRE,Q7449804,
STT,Q2037125,
STZ,Q1128160,
SWK,Q706094,
SYK,Q2357515,
SYY,Q2376711,
T,Q35476,
TAP,Q3319685,
TDG,Q7833612,
TDY,Q7696127,
TEL,Q663452,
TER,Q2404292,
TFX,Q7696143,
TGT,Q1046951,
TJX,Q1285819,
TMO,Q643674,
TPR,,
TRV,Q942471,
TSN,Q1325987,
TXT,Q2140315,
TYL,Q48802335,
UAA,Q2031485,
UAL,Q174769,
UDR,Q27988153,
UHS,Q7893967,
UNH,Q2103926,
UNP,Q725793,
UPS,Q155026,
URI,Q7889101,
USB,Q739084,
V,Q328840,
VFC,Q457960,
VLO,Q1283291,
VMC,Q1685287,
VNO,Q368181,
VTR,Q19865761,
VZ,Q467752,
WAB,Q741707,
WAT,Q1322011,
WEC,Q8027166,
WFC,Q744149,
WHR,Q1471346,
WM,Q2552219,
WMB,Q930639,
WMT,Q483551,
WRB,,
WST,Q1660662,
WY,Q1780382,
